,CL,CL,CL,CL,CL,BZ,BZ,BZ,BZ,BZ
,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,
2021-03-08 09:30:00-05:00,65.71,65.75,65.41,65.64,8347,68.86,68.91,68.61,68.79,424
2021-03-08 09:40:00-05:00,65.64,65.9,65.62,65.64,6130,68.81,69.07,68.8,68.85,205
2021-03-08 09:50:00-05:00,65.65,65.71,65.37,65.46,7552,68.85,68.9,68.59,68.65,249
2021-03-08 10:00:00-05:00,65.47,65.6,65.2,65.31,7738,68.66,68.79,68.48,68.58,302
2021-03-08 10:10:00-05:00,65.31,65.39,64.98,65.36,12094,68.61,68.66,68.3,68.65,571
2021-03-08 10:20:00-05:00,65.36,65.53,65.25,65.32,8965,68.65,68.83,68.57,68.63,484
2021-03-08 10:30:00-05:00,65.32,65.37,65.13,65.22,5796,68.64,68.66,68.47,68.51,259
2021-03-08 10:40:00-05:00,65.22,65.35,65.15,65.19,4789,68.49,68.6,68.42,68.45,179
2021-03-08 10:50:00-05:00,65.19,65.29,65.13,65.23,4412,68.46,68.57,68.41,68.53,157
2021-03-08 11:00:00-05:00,65.23,65.51,65.18,65.44,5781,68.52,68.74,68.48,68.71,262
2021-03-08 11:10:00-05:00,65.44,65.68,65.38,65.64,5960,68.68,68.91,68.66,68.88,362
2021-03-08 11:20:00-05:00,65.64,65.72,65.57,65.69,5176,68.89,68.95,68.79,68.9,350
2021-03-08 11:30:00-05:00,65.69,65.7,65.38,65.49,4781,68.9,68.91,68.59,68.7,427
2021-03-08 11:40:00-05:00,65.5,65.5,65.29,65.29,2957,68.69,68.69,68.5,68.5,118
2021-03-08 11:50:00-05:00,65.3,65.3,65.12,65.12,4132,68.49,68.5,68.34,68.35,179
2021-03-08 12:00:00-05:00,65.13,65.19,65.07,65.08,2701,68.35,68.42,68.3,68.31,224
2021-03-08 12:10:00-05:00,65.08,65.17,64.98,65.12,5123,68.3,68.37,68.18,68.33,378
2021-03-08 12:20:00-05:00,65.12,65.28,65.11,65.13,4060,68.33,68.48,68.33,68.38,221
2021-03-08 12:30:00-05:00,65.14,65.16,64.94,64.95,3868,68.38,68.42,68.2,68.2,120
2021-03-08 12:40:00-05:00,64.95,65.02,64.84,64.94,4667,68.22,68.22,68.11,68.14,247
2021-03-08 12:50:00-05:00,64.93,64.97,64.71,64.91,5165,68.15,68.18,67.93,68.15,314
2021-03-08 13:00:00-05:00,64.92,65.0,64.9,64.98,2463,68.15,68.23,68.14,68.21,62
2021-03-08 13:10:00-05:00,64.98,64.99,64.6,64.74,6779,68.2,68.2,67.81,67.97,363
2021-03-08 13:20:00-05:00,64.75,64.9,64.62,64.84,3349,67.97,68.13,67.83,68.06,193
2021-03-08 13:30:00-05:00,64.84,64.92,64.78,64.84,2276,68.05,68.12,68.02,68.07,85
2021-03-08 13:40:00-05:00,64.84,64.99,64.78,64.81,3333,68.07,68.21,67.97,67.97,251
2021-03-08 13:50:00-05:00,64.8,64.83,64.6,64.61,3007,68.0,68.0,67.86,67.86,105
2021-03-08 14:00:00-05:00,64.61,64.93,64.57,64.86,4593,67.85,68.12,67.83,68.1,210
2021-03-08 14:10:00-05:00,64.86,65.08,64.83,65.04,4322,68.07,68.3,68.05,68.24,162
2021-03-08 14:20:00-05:00,65.04,65.18,64.99,65.04,15326,68.24,68.37,68.22,68.24,473
2021-03-08 14:30:00-05:00,65.03,65.12,64.84,64.89,4710,68.22,68.3,68.09,68.11,245
2021-03-08 14:40:00-05:00,64.9,64.96,64.79,64.8,1407,68.12,68.16,68.04,68.04,45
2021-03-08 14:50:00-05:00,64.8,64.87,64.79,64.85,1092,68.03,68.09,68.02,68.07,39
2021-03-08 15:00:00-05:00,64.84,64.84,64.67,64.69,1739,68.01,68.01,67.9,67.91,49
2021-03-08 15:10:00-05:00,64.7,64.74,64.57,64.61,1614,67.95,67.97,67.83,67.86,48
2021-03-08 15:20:00-05:00,64.61,64.75,64.61,64.71,1272,67.87,67.95,67.87,67.95,29
2021-03-08 15:30:00-05:00,64.71,64.8,64.68,64.68,1628,67.96,68.02,67.94,67.94,49
2021-03-08 15:40:00-05:00,64.67,64.75,64.67,64.7,883,67.92,67.99,67.92,67.97,26
2021-03-08 15:50:00-05:00,64.71,64.74,64.62,64.64,1000,67.97,67.97,67.88,67.88,33
2021-03-08 16:00:00-05:00,64.64,64.71,64.6,64.71,419,67.92,67.96,67.88,67.96,10
2021-03-09 09:30:00-05:00,64.81,64.81,64.48,64.55,12194,68.2,68.2,67.87,67.95,494
2021-03-09 09:40:00-05:00,64.56,64.78,64.46,64.68,7495,67.93,68.18,67.87,68.1,305
2021-03-09 09:50:00-05:00,64.69,64.74,64.34,64.34,7836,68.09,68.11,67.78,67.78,346
2021-03-09 10:00:00-05:00,64.34,64.47,64.15,64.37,12600,67.77,67.92,67.66,67.84,607
2021-03-09 10:10:00-05:00,64.37,64.57,64.2,64.37,7952,67.89,68.03,67.68,67.81,352
2021-03-09 10:20:00-05:00,64.37,64.49,64.22,64.45,6392,67.84,67.92,67.7,67.9,226
2021-03-09 10:30:00-05:00,64.46,64.7,64.41,64.6,4841,67.9,68.14,67.86,68.04,162
2021-03-09 10:40:00-05:00,64.59,64.81,64.56,64.65,4742,68.05,68.24,68.04,68.1,189
2021-03-09 10:50:00-05:00,64.65,64.95,64.64,64.89,5440,68.14,68.36,68.13,68.32,279
2021-03-09 11:00:00-05:00,64.88,64.93,64.72,64.72,5171,68.32,68.35,68.15,68.15,277
2021-03-09 11:10:00-05:00,64.71,64.71,64.31,64.35,7446,68.11,68.11,67.78,67.8,428
2021-03-09 11:20:00-05:00,64.35,64.42,64.08,64.16,6888,67.8,67.85,67.55,67.6,471
2021-03-09 11:30:00-05:00,64.17,64.39,64.09,64.29,6509,67.62,67.87,67.55,67.81,357
2021-03-09 11:40:00-05:00,64.3,64.3,64.17,64.3,2883,67.78,67.8,67.67,67.8,130
2021-03-09 11:50:00-05:00,64.3,64.49,64.26,64.34,4661,67.8,67.96,67.76,67.81,119
